,0
2018-03-19,7119.390623821365
2018-03-20,7042.123572526283
2018-03-21,7045.123616803641
2018-03-22,6993.407395261882
2018-03-23,6909.9008357532675
2018-03-26,6936.492868198972
2018-03-27,6987.684781815887
2018-03-28,6951.723384540826
2018-03-29,7034.350843899879
2018-04-03,6980.270420679743
2018-04-04,7011.069401908246
2018-04-05,7110.94268848456
2018-04-06,7175.914432765505
2018-04-09,7196.55863538364
2018-04-10,7236.695006213553
2018-04-11,7248.166164772218
2018-04-12,7265.224173388295
2018-04-13,7266.132319954041
2018-04-16,7263.072454119285
2018-04-17,7214.087181796325
2018-04-18,7248.741202195114
2018-04-19,7350.543928562834
2018-04-20,7381.495439424268
2018-04-23,7387.007201969009
2018-04-24,7440.534187296821
2018-04-25,7400.486258349135
2018-04-26,7370.390782281243
2018-04-27,7449.5408518351505
2018-04-30,7535.657356292482
2018-05-01,7541.786082726652
2018-05-02,7553.872939471379
2018-05-03,7556.825355421539
2018-05-04,7553.917506482556
2018-05-08,7608.699101150427
2018-05-09,7614.282422496946
2018-05-10,7719.905191966082
2018-05-11,7734.413738855648
2018-05-14,7758.961927170849
2018-05-15,7734.761678236166
2018-05-16,7768.943336186465
2018-05-17,7763.358408640015
2018-05-18,7828.545069563698
2018-05-21,7866.682396580123
2018-05-22,7917.07811806013
2018-05-23,7906.212825352838
2018-05-24,7838.356973611626
2018-05-25,7776.519937621432
2018-05-29,7685.075033250926
2018-05-30,7646.473198948395
2018-05-31,7741.094930131371
2018-06-01,7748.742378905183
2018-06-04,7766.4658431419175
2018-06-05,7749.526449986178
2018-06-06,7731.774040005859
2018-06-07,7778.305364232012
2018-06-08,7700.589198923331
2018-06-11,7751.195717654562
2018-06-12,7805.3126707838555
2018-06-13,7732.4306424515225
2018-06-14,7684.693093976059
2018-06-15,7794.638780982819
