,"Q3,17","Q4,17","Q1,18","Q2,18","Q3,18","Q4,18","Q1,19","Q2,19","Q3,19","Q4,19"
71,RMV,RIO,RIO,RMG,RMG,RMG,RMV,RIO,RIO,RIO
72,RR.,RMV,RMV,RMV,RMV,RMV,RR.,RMV,RMV,RMV
73,RBS,RR.,RR.,RR.,RR.,RR.,RBS,RR.,RR.,RR.
74,RDSA,RBS,RBS,RBS,RBS,RBS,RDSA,RBS,RBS,RBS
75,RDSB,RDSA,RDSA,RDSA,RDSA,RDSA,RDSB,RDSA,RDSA,RDSA
76,RSA,RDSB,RDSB,RDSB,RDSB,RDSB,RSA,RDSB,RDSB,RDSB
77,SGE,RSA,RSA,RSA,RSA,RSA,SGE,RSA,RSA,RSA
78,SBRY,SGE,SGE,SGE,SGE,SGE,SBRY,SGE,SGE,SGE
79,SDR,SBRY,SBRY,SBRY,SBRY,SBRY,SDR,SBRY,SBRY,SBRY
80,SMT,SDR,SDR,SDR,SDR,SDR,SMT,SDR,SDR,SDR
81,SGRO,SMT,SMT,SMT,SMT,SMT,SGRO,SMT,SMT,SMT
82,SVT,SGRO,SGRO,SGRO,SGRO,SGRO,SVT,SGRO,SGRO,SGRO
83,SN.,SVT,SVT,SVT,SVT,SVT,SN.,SVT,SVT,SVT
84,SMDS,SN.,SN.,SN.,SN.,SN.,SMDS,SN.,SN.,SN.
85,SMIN,SMDS,SMDS,SMDS,SMDS,SMDS,SMIN,SMDS,SMDS,SMDS
86,SKG,SMIN,SMIN,SMIN,SMIN,SMIN,SKG,SMIN,SMIN,SMIN
87,SPX,SKG,SKG,SKG,SKG,SKG,SPX,SKG,SKG,SKG
88,SSE,SSE,SSE,SSE,SSE,SSE,SSE,SPX,SPX,SPX
89,STAN,STAN,STAN,STAN,STAN,STAN,STAN,SSE,SSE,SSE
90,SLA,SLA,SLA,SLA,SLA,SLA,SLA,STAN,STAN,STAN
91,STJ,STJ,STJ,STJ,STJ,STJ,STJ,SLA,SLA,SLA
92,TW.,TW.,TW.,TW.,TW.,TW.,TW.,STJ,STJ,STJ
93,TSCO,TSCO,TSCO,TSCO,TSCO,TSCO,TSCO,TW.,TW.,TW.
94,TUI,TUI,TUI,TUI,TUI,TUI,TUI,TSCO,TSCO,TSCO
95,ULVR,ULVR,ULVR,ULVR,ULVR,ULVR,ULVR,TUI,TUI,TUI
96,UU.,UU.,UU.,UU.,UU.,UU.,UU.,ULVR,ULVR,ULVR
97,VOD,VOD,VOD,VOD,VOD,VOD,VOD,UU.,UU.,UU.
98,WG.,WG.,WG.,WG.,WG.,WG.,WG.,VOD,VOD,VOD
99,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB,WTB
100,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP,WPP
